words,meanings,score,correct,appear
at the latest,遅くとも,0.0,0,1
at the moment,現在,0.0,0,0
be entitled to,～の資格がある,0.0,0,0
by oneself,一人で,0.0,0,0
dozens of,たくさんの,0.0,0,1
drop off,～を届ける、～を置いていく,0.0,0,0
for futher information,詳しくは,0.0,0,0
for the duration of,～の期間中ずっと,0.0,0,1
get on,～に乗り込む,0.0,0,1
get to know,～を知るようになる、～と知り合いになる,0.0,0,1
give a ride,車に乗せる,0.0,0,0
go on sale,発売になる,0.0,0,0
go out of business,商売を止める,0.0,0,0
in an effort to do,～しようとして,0.0,0,0
in operation,稼働中で,0.0,0,0
in turn,その結果,0.0,0,0
on a budget,限られた予算内で,0.0,0,0
on such short notice,急な知らせで,0.0,0,0
pay off,実を結ぶ,0.0,0,0
place emphasis on,～に重点を置く,0.0,0,0
put up,～を建てる、掲示する,0.0,0,0
run into,～と出くわす,0.0,0,0
send in,～を提出する,0.0,0,0
set aside,～を取っておく,0.0,0,0
take inventory,棚卸をする、在庫を数える,0.0,0,0
take opportunity to do,機会を利用して～する,0.0,0,0
above all,とりわけ、何よりも,0.0,0,0
adjacent to,～に隣接した,0.0,0,0
as a token of appreciation,感謝のしるしとして,0.0,0,0
as if,まるで～であるかのように,0.0,0,0
be aimed at,～を目的としている,0.0,0,0
be running late,予定より遅れている,0.0,0,0
be running low,～が残り少なくなっている,0.0,0,0
by way of,～経由で、～の手段として,0.0,0,0
can't wait,楽しみだ、待ちきれない,0.5,1,1
end up doing,結局～する,0.0,0,0
give away,無料で提供する,0.0,0,0
go with,受け入れる、一緒に行く、伴う,0.0,0,0
happen to do,たまたま～する,0.0,0,0
head to/for,～に向かう,0.0,0,0
in a rush,大急ぎで,0.0,0,0
in a timely manner,タイミングよく、遅れずに,0.0,0,0
in general,一般的に、全体的に,0.0,0,0
in honor of,～を称えて,0.0,0,0
in preparation for,～に備えて,0.0,0,0
in progress,進行中で,0.0,0,0
in recognition of,～を称えて,0.0,0,1
in the long run,長期的には,0.5,1,1
in the vicinity of,～の近くで,0.0,0,0
just in case,万が一に備えて,0.0,0,0
just so you know,念のため知らせると、ちなみに,0.0,0,0
keep up with,～を続ける,0.0,0,0
look no further than,～以外を見る必要はない,0.0,0,0
miss out,機会を逃す,0.0,0,1
on hold,取り置きにして、保留の状態で,0.0,0,0
on the other hand,その一方で,0.0,0,0
out of order,故障中で,0.0,0,0
pass by,～のそばを通る,0.0,0,0
pass on X to Y,XをYに転嫁する,0.0,0,0
pass out,～を配る,0.0,0,0
pull up,（情報を）引き出す、（車が）停まる,0.0,0,0
reach into,～の中に手を入れる,0.0,0,0
report to work,出勤する,0.0,0,0
run out of,～を使い切る,0.0,0,0
set X apart from Y,XをYから際立たせる,0.0,0,0
settle in/into,落ち着く、なれる,0.0,0,2
speak highly of,～を褒める,0.0,0,0
stuck in traffic,渋滞にはまって,0.0,0,0
take turns,順番に行う、交替でする,0.0,0,0
tear down,～を取り壊す,0.0,0,0
throw a party,パーティを開く,0.0,0,0
turn in,～を提出する,0.0,0,0
unless otherwise noted,特に断りがない限り,0.0,0,0
until further notice,別途通知があるまでの間,0.0,0,0
when it comes to,～のことになると、～に関して言えば,0.0,0,0
work out,うまくいく、解決する,0.0,0,0
a good chance,十分な可能性,0.0,0,0
a round of applause,盛大な拍手,0.0,0,0
among other things,数ある中で、とりわけ,0.0,0,0
and so on,～など,0.0,0,0
as early as,早ければ,0.0,0,0
as to whether,～かどうかについて,0.0,0,0
at most,多くても,0.0,0,0
at present,現在は,0.0,0,0
be capable of,～の能力がある,0.0,0,0
be credited with,～の功績がある,0.0,0,0
be devoted to,～に特化した、～に献身的な,0.25,1,2
be reluctant to do,～するのを渋る,0.0,0,0
by far,はるかに,0.0,0,0
call your attention to,～にご注意ください,0.0,0,0
come across,出くわす,0.0,0,0
come to an agreement,（合意などに）達する,0.0,0,0
contrary to,～に反して,0.0,0,0
cordially invite,謹んで招待する,0.0,0,0
book,～を予約する,0.0,0,0
hold,～を行う、～を手に持つ,0.0,0,1
join,～に加わる,0.0,0,0
mail,～を郵送する,0.0,0,0
meet,～を満たす、～に間に合う,0.5,1,1
place,（注文や広告を）出す、～を置く,0.0,0,0
present,～を提示する、～を授与する,0.0,0,0
receive,～を受ける、～を受け取る,0.0,0,0
return,～を戻す、～を返品する、折り返す,0.0,0,0
rise,上がる,0.0,0,0
run,～を運営する、～を行う、～を走らせる,0.0,0,0
save,～を節約する、～を保存する、～を取っておく,0.0,0,0
visit,～を訪れる、訪問する,0.0,0,0
accept,～を受け入れる、～を受け取る,0.0,0,0
announce,～を発表する,0.5,1,1
arrange,～を手配する、手配する,0.0,0,0
attend to,～に出席する、～に参加する、対処する,0.0,0,0
complete,～を完了させる、～を完成させる、～に記入する,0.0,0,0
deliver,～を配達する、（演説等）行う、配達する,0.0,0,0
develop,～を開発する、～を作り出す、（スキル等を）高める、発展する,0.0,0,0
earn,～を得る、稼ぐ、～を獲得する,0.0,0,0
express,～を表す,0.0,0,0
host,～を主催する,0.0,0,0
improve,～を改善する、～を改良する、改善する,0.0,0,0
inform,知らせる,0.5,1,1
perform,～を遂行する、～を演じる、公演する,0.0,0,0
prepare,～を準備する、～を用意する、準備する,0.0,0,0
process,～を処理する,0.0,0,0
provide,～を提供する、～に提供する,0.0,0,0
publish,～を出版する、～を掲載する、～を発表する,0.0,0,0
raise,（お金を）集める、～を上げる、～を高める,0.0,0,0
reserve,～を予約する、～を確保する,0.0,0,0
approve,～を承認する、賛成する,0.5,1,1
attract,～を惹きつける、～を呼び込む,0.0,0,0
conduct,～を行う、～を実施する,0.0,0,0
confirm,～を確認する,0.5,1,1
deserve,～に値する,0.0,0,0
issue,（正式に）～を出す、～を発行する,0.0,0,0
recognize,称える、認める,0.0,0,0
reduce,（値段を）下げる、～を減らす,0.0,0,0
require,～を必要とする、～を要求する,0.0,0,0
reschedule,～の予定を変更する,0.0,0,0
review,～に目を通す、～を検討する,0.0,0,1
seek,～を探し求める、～を募集する,0.0,0,0
acquire,～を買収する、～を得る,0.0,0,0
decline,～を断る、～を辞退する、減る、辞退する,0.0,0,0
expand,～を拡大する、～を拡張する、進出する、広がる,0.0,0,0
extend,～を延長する、（感謝、お詫びの気持ちを）表す、伸びる、広がる,0.0,0,0
finalize,～を取りまとめる、～を仕上げる,0.0,0,0
obtain,～を得る、～をもらう,0.0,0,0
organize,取りまとめる、～を組織化する、～を整理する,0.0,0,0
postpone,～を延期する,0.0,0,0
promote,～を宣伝する、～を進出する,0.0,0,0
resolve,～を解決する,0.0,0,0
restore,～を復活させる、～を修復する,0.0,0,0
retain,～を維持する、～を保管する、～を保持する,0.0,0,0
submit,～を提出する,0.0,0,0
exceed,～を超える,0.0,0,0
fulfill,～を達成する、～を満たす,0.0,0,0
implement,～を実行する、～を実施する,0.0,0,0
inspect,～を検査する、～を調べる,0.0,0,0
recruit,～を採用する、～を募集する,0.0,0,0
renew,～を更新する,0.0,0,0
resume,～を再開する、再開する,0.0,0,0
undergo,（検査、修理等を）受ける、～を経験する,0.0,0,0
generate,～を生み出す、～を生む,0.5,1,1
revise,～を修正する、～を見直す,0.0,0,0
incur,（罰金等を）被る、～を受ける、～を負担する,0.0,0,1
publicize,～を宣伝する、～を告知する,0.0,0,0
occupied,使われている,0.0,0,0
overlook,見下ろす位置にある,0.0,0,0
pedestrain,歩行者,0.0,0,0
plank,厚板,0.0,0,0
point,指す、指差す,0.0,0,0
position,位置に置く、位置を合わせる,0.0,0,0
potted plant,鉢植え,0.5,1,1
pottery,陶器,0.0,0,0
pour,注ぐ,0.0,0,0
railing,手すり,0.0,0,0
rake,熊手、熊手でかき集める,0.0,0,0
count on,～を頼る、あてにする,0.0,0,0
cut back on,～を削減する、切り詰める,0.0,0,0
fill an order,注文処理する、注文に応じる,0.0,0,1
fill in for,～の代わりを務める,0.0,0,0
get through,片付ける、終える、やり通す,0.0,0,0
get together,集まる,0.0,0,0
give a hand,手を貸す,0.0,0,0
halfway through,～の途中で,0.0,0,0
hand in,～を提出する,0.0,0,0
in compliance with,～に従って、～を順守して,0.5,1,1
in contrast to,～とは対照的に,0.0,0,0
in exchange for,～と交換に、～と引き換えに,0.0,0,0
in favor of,～に賛成して,0.0,0,0
in place of,～の代わりに,0.0,0,0
in return,お返しに,0.0,0,0
in shape,体調が万全である,0.0,0,0
in short,要するに,0.0,0,0
lay out,～を広げる,0.0,0,0
leave behind,～を置き忘れる,0.0,0,0
make a point of doing,あえて～する、必ず～するようにする,0.0,0,0
on one's own,独力で,0.0,0,0
out of print,絶版の,0.0,0,0
pay attention to,～に注意を払う,0.0,0,0
pick out,～を選ぶ,0.0,0,0
pride oneself on,～を誇りにする,0.0,0,0
put forth,出す、提案する,0.0,0,0
put you through to,（電話を）～につなぐ,0.0,0,0
rest assured,ご安心ください,0.0,0,1
run errands,用事で出かける、お使いをする,0.0,0,0
show X around Y,XにYを案内する,0.0,0,0
show off,～を披露する、誇示する,0.0,0,0
so as to do,～するために,0.0,0,1
stand out from,～から抜きん出る、～より目立つ,0.0,0,0
take a message,伝言を受け取る,0.5,1,1
take notes,メモをとる,0.0,0,0
tend to do,～しがちだ,0.0,0,0
throw away,～を捨てる,0.0,0,0
to date,今までで,0.0,0,0
tune in to,～にチャンネルを合わせる,0.0,0,0
turn down,～を断る、（温度などを）下げる,0.0,0,0
turn out,～だとわかる,0.0,0,0
turn to,参照する、頼る,0.0,0,0
turn X over to Y,XをYに引き渡す、引き継ぐ,0.0,0,0
up and running,始動する、ちゃんと動き出す,0.0,0,0
a course of action,行動方針、一連の行動,0.0,0,0
a wealth of,豊富な,0.0,0,0
as far as,～する範囲では,0.0,0,0
as it happens,たまたま、偶然,0.0,0,0
aside from,～は別として、～に加えて,0.0,0,0
at one's disposal,～が自由に使える,0.0,0,0
at the discretion of,～の裁量で,0.0,0,0
at the forefront of,～の最前線にいる,0.0,0,0
at the last minutes,土壇場で、間際で,0.0,0,0
at your earliest convenience,あなたの都合がつき次第,0.0,0,0
be accustomed to,～に慣れている,0.0,0,1
be propped up against,～に立てかけられる,0.0,0,0
by a wide margin,大差で,0.0,0,1
by any chance,ひょっとして,0.0,0,0
by mistake,誤って,0.0,0,0
call in sick,病欠の電話を入れる,0.0,0,0
cast a shadow,影を落とす,0.0,0,0
come to a standstill,完全に停止する,0.0,0,0
come to think of it,考えてみれば、そういえば,0.0,0,0
come up,起こる、近づく,0.0,0,0
deal with,～に対処する、～に対応する,0.0,0,1
every hour on the hour,毎正時,0.0,0,0
for the time being,当面の間,0.0,0,0
get acquainted with,～をよく理解する,0.0,0,0
get along with,～とうまくやっていく,0.0,0,0
has/have yet to do,まだ～してない,0.0,0,0
have no choice but to do,～する他にない,0.0,0,0
if applicable,該当する場合,0.0,0,0
in accordance with,～に従って,0.0,0,0
in anticipation of,～を見込んで、～を予想して,0.0,0,0
in appreciation of,～に感謝して,0.0,0,0
in for a treat,楽しみなことがある、お楽しみに,0.0,0,0
in keeping with,～に合わせて、～に沿って,0.0,0,1
in line for,～の候補で,0.0,0,0
in observance of,～を順守して,0.0,0,1
in order of,～順に,0.0,0,1
in other words,言い換えれば,0.0,0,0
in the distance,遠くに,0.0,0,1
in the same direction,同じ方向に,0.0,0,0
jot down,～を書き留める,0.0,0,0
keep an eye on,～から目を離さない、～を見張る,0.0,0,0
keep an eye out for,～を注視する,0.0,0,0
keep X posted,Xに随時報告する,0.0,0,0
land a job,仕事を得る,0.0,0,0
lay off,～を解雇する,0.0,0,0
let up,（風雨などが）止む、弱まる,0.0,0,0
live up to,（期待、要望に）応える,0.0,0,0
look up to,～を尊敬する,0.0,0,1
mark down,～を値下げする,0.0,0,0
move over,席を詰める,0.0,0,0
narrow down,（候補を）絞り込む,0.0,0,0
on average,平均で,0.0,0,0
on request,リクエストがあれば,0.0,0,0
on the line,電話を保留中で,0.0,0,1
on the whole,全体として,0.0,0,0
once in a while,たまに,0.0,0,0
because of,～が理由で,0.0,0,0
due to,～が理由で,0.0,0,0
in addition to,～に加えて,0.5,1,1
instead of,～の代わりに,0.0,0,0
other than,～以外は,0.0,0,1
in spite of,～にもかかわらず,0.0,0,0
regardless of,～に関係なく,0.0,0,0
except for,～を除いて,0.0,0,0
in light of,～を考慮して,0.0,0,0
owing to,～が理由で,0.0,0,0
in the event of,～の場合,0.0,0,0
on account of,～が理由で,0.0,0,0
so that,～するように,0.0,0,0
as soon as,～するとすぐに,0.5,1,1
in case,～した場合に備えて,0.0,0,0
as long as,～する限り、～する場合のみ,0.0,0,0
now that,今は～なので,0.0,0,0
provided that,～という条件で,0.0,0,0
given that,～することを考慮すると,0.0,0,1
in the event that,～した場合,0.0,0,1
even if,たとえ～だとしても,0.0,0,0
even though,～だけれども,0.0,0,0
rest,休ませる、休む,0.0,0,0
rug,カーペット,0.0,0,0
scale,測り,0.0,0,0
sign,標識、張り紙,0.0,0,0
stack,積み重ねる,0.0,0,0
staircase,（室内にある手すりのついた）階段,0.0,0,0
stool,スツール（背もたれのない椅子）,0.0,0,0
sweep,掃く,0.0,0,0
walkway,歩道,0.5,1,1
wheelbarrow,一輪車,0.0,0,0
out of place,場違いの,0.0,0,0
out of service,運転停止中で,0.0,0,0
page through,パラパラ見る,0.0,0,0
pass up,（チャンスなどを）見送る,0.0,0,0
pay a visit,訪れる,0.0,0,0
put off,～を延期する,0.0,0,0
set forth,説明する、明記する,0.0,0,0
set out,スタートする、出発する,0.0,0,0
show up,姿を表す、現れる,0.0,0,1
so kind as to do,親切にも～する,0.0,0,0
sort out,～にうまく対処する,0.0,0,0
spare no expense,出費を惜しまない,0.0,0,0
step down as,～の座を退く,0.0,0,0
take measures,対策を講じる,0.0,0,0
take one's word for it,～の言葉をそのまま信じる、鵜呑みにする,0.0,0,0
take out insurance,保険に入る,0.0,0,0
take X for granted,Xを当たり前だと思う,0.0,0,0
